Σκόρδο	Garlic
Μέλι	Honey
Κρεμμύδι	Onion
Καρότο	Carrot
Ντομάτα	Tomato
Χυμός λεμονιού	Lemon juice
Μαϊντανός	Parsley
Αυγό	Egg
Κοτόπουλο	Chicken
Ρύζι	Rice
Ντοματίνια	Cherry tomatoes
Γιαούρτι	Yoghurt
Μουστάρδα	Mustard
Αγγούρι	Cucumber
Κολοκύθι	Courgette
Φρέσκο κρεμμυδάκι	Spring onion
Λαχανικά	Vegetables
Γάλα	Milk
Μοσχάρι	Beef
Κινόα	Quinoa
Μανιτάρι	Mushroom
Άνηθος	Dill
Ζωμός λαχανικών	Vegetable stock
Φέτα light	Light feta
Βαλσάμικο	Balsamic
Κόκκινη πιπεριά	Red pepper
Μαγιονέζα light	Light mayonnaise
Σόγια	Soy sauce
Σπανάκι	Spinach
Ελαιόλαδο	Olive oil
Πατάτα	Potato
Αβοκάντο	Avocado
Βρώμη	Oats
Κανέλα	Cinnamon
Κόλιανδρος	Coriander
Ζυμαρικό	Pasta
Ζωμός κοτόπουλου	Chicken stock
Αλεύρι	Flour
Πράσο	Leek
Γλυκοπατάτα	Sweet potato
Θυμάρι	Thyme
Τυρί κρέμα light	Light cream cheese
Καλαμπόκι	Corn
Σολομός	Salmon
Δυόσμος	Spearmint
Φρυγανιά	Rusk
Ψωμί	Bread
Σουσάμι	Sesame
Σέλερι	Celery
Αμύγδαλο	Almond
Τορτίγια	Tortilla
Φυλλώδη πράσινα λαχανικά	Leafy greens
Ταχίνι	Tahini
Καρύδι	Walnut
Κάρυ	Curry
Μήλο	Apple
Μπρόκολο	Broccoli
Chili πιπεριά	Chilli pepper
Πάπρικα	Paprika
Γαλοπούλα	Turkey
Ρεβίθια	Chickpeas
Σχοινόπρασο	Chives
Μελιτζάνα	Aubergine
Δενδρολίβανο	Rosemary
Τυρί κίτρινο light	Light yellow cheese
Φράουλα	Strawberry
Ελιά	Olive
Χόρτα	Wild greens
Ψάρι	Fish
Μπανάνα	Banana
Σπόροι chia	Chia seeds
Ξύδι	Vinegar
Πορτοκάλι	Orange
Κύμινο	Cumin
Χυμός πορτοκαλιού	Orange juice
Ξύδι ρυζιού	Rice vinegar
Τόνος	Tuna
Φακή	Lentils
Λάχανο κόκκινο	Red cabbage
Κατίκι	Katiki cheese
Χουρμάδες	Dates
Πράσινη πιπεριά	Green pepper
Κάπαρη	Capers
Μαρούλι	Lettuce
Κολοκυθόσπορος	Pumpkin seeds
Ηλιέλαιο	Sunflower oil
Κρουτόν	Croutons
Κάσιους	Cashews
Αλεύρι καρύδας	Coconut flour
Μαύρη σοκολάτα	Dark chocolate
Ηλιόσπορος	Sunflower seeds
Λάχανο	Cabbage
Σελινόριζα	Celeriac
Αμπελοφάσουλα	Black-eyed bean pods
Σταγόνες μαύρης σοκολάτας	Dark chocolate chips
Λιναρόσπορος	Flaxseed
Τόφου	Tofu
Πλιγούρι	Bulgur
Σπόροι κάνναβης	Hemp seeds
Λεμόνι	Lemon
Κακάο	Cocoa
Μάνγκο	Mango
Φυστίκι Αιγίνης	Pistachio
Γάλα βρώμης	Oat milk
Ανθότυρο	Anthotyro cheese
Παντζάρι	Beetroot
Κουνουπίδι	Cauliflower
Μηλόξυδο	Apple cider vinegar
Ρίγανη	Oregano
Παξιμάδι χαρουπιού	Carob rusk
Αρακάς	Peas
Πιπεριά	Pepper
Ψαρονέφρι	Pork tenderloin
Γάλα αμυγδάλου	Almond milk
Γαλοπούλα βραστή	Boiled turkey
Φρούτο	Fruit
Βασιλικός	Basil
