Υλικό,DB (πριν),CSV (μετά)
BBQ sauce,,"Celery, Fish, Mustard, Soybeans, Sulphites"
Horseradish,,"Eggs, Milk"
Pesto,,"Milk, Tree nuts"
Sweet chilli,,"Gluten, Sulphites"
Teriyaki sauce,Soybeans,"Gluten, Soybeans, Sulphites"
Άνηθος,,Celery
Ανθότυρο,,Milk
Βαλσάμικο,,Sulphites
Βούτυρο αμυγδάλου,"Milk, Tree nuts",Tree nuts
Βούτυρο κάσιους,"Milk, Tree nuts",Tree nuts
Βούτυρο φουντουκιού,"Milk, Tree nuts",Tree nuts
Γάλα αμυγδάλου,"Milk, Tree nuts",Tree nuts
Γάλα βρώμης,"Gluten, Milk",Gluten
Γάλα καρύδας,"Milk, Tree nuts",Tree nuts
Γαλοπούλα βραστή,,"Celery, Milk, Mustard, Soybeans, Sulphites"
Γραβιέρα light,,Milk
Κόλιανδρος,,Celery
Κους κους,,Gluten
Κρεμμύδι,Molluscs,
Λαχανικά ψητά,,Eggplant
Λιαστή ντομάτα,,Sulphites
Μαγιονέζα light,Eggs,"Eggs, Gluten, Milk, Mustard, Soybeans"
Μαγιονέζα vegan,Eggs,"Mustard, Soybeans"
Μαϊντανός,,Celery
Μανούρι,,Milk
Μπισκότο χωρίς ζάχαρη,"Eggs, Gluten","Eggs, Gluten, Milk, Soybeans"
Πάστα χαρίσα,,Sulphites
Παστέλι,,Sesame seeds
Πλιγούρι,,Gluten
Σέλερι,,Celery
Σησαμέλαιο,,Sesame seeds
Σπόροι κάνναβης,,Tree nuts
Σταγόνες μαύρης σοκολάτας,,"Milk, Soybeans"
Φαλάφελ,,"Gluten, Sesame seeds"
Φυστικοβούτυρο,Tree nuts,Peanuts
Χούμους,,Sesame seeds
Ψωμί brioche,"Eggs, Gluten","Eggs, Gluten, Milk"
