Κωδικός,Πιάτο,Από,Σε
69,Buddha bowl με τόφου,salads,healthy_bowls
74,Ατομική πράσινη σαλάτα με τοματίνια και αγγούρι,salads,individual_salads
75,Ατομική σαλάτα με λάχανο και καρότο,salads,individual_salads
94,"Salmon bowl με ψητό σολομό, μάυρο ρύζι και κινόα",salads,healthy_bowls
97,Mexican bowl με guacamole και μαύρο ρύζι,salads,healthy_bowls
98,Noodle bowl με λαχανικά,salads,healthy_bowls
101,Ατομική σαλάτα με βραστά λαχανικά και ελαιόλαδο,salads,individual_salads
102,"Ατομική σαλάτα, mix πράσινης και honey dressing",salads,individual_salads
103,Ατομική ντοματοσαλάτα με αγγούρι και ελαιόλαδο,salads,individual_salads
227,Buddha bowl με φιλέτο κοτόπουλο και γλυκοπατάτα,salads,healthy_bowls
268,Ατομική σαλάτα coleslaw,salads,individual_salads
297,"Lemon Chicken Bowl με ρύζι basmati, πράσινη σαλάτα, κοτόπουλο σχάρας, broccoli coleslaw, χούμους,
ντοματίνια, αγγούρι και dressing λεμόνι – ελαιόλαδο",salads,healthy_bowls
299,"Mediterranean Chicken Bowl με καστανό ρύζι, κοτόπουλο σχάρας, πράσινη σαλάτα, ελιές φιλέτο, χούμους, αγγούρι, ντοματίνια, φέτα light και olive oil lemon dressing",salads,healthy_bowls
300,"Teriyaki Salmon Bowl με καστανό ρύζι, σολομός σχάρας, guacamole, αγγούρι, καλαμπόκι, σουσάμι και sesame-teriyaki dressing",salads,healthy_bowls
301,"Mango Salmon Bowl με ρύζι basmati, σολομός σχάρας, πράσινη σαλάτα, κάσιους, guacamole, ντοματίνια, πίκλα κόκκινο λάχανο και mango-lime dressing",salads,healthy_bowls
306,"Vegan Power Bowl με καστανό ρύζι, ψητά λαχανικά, πράσινη σαλάτα, μπρόκολο, χούμους, αβοκάντο,
ντοματίνια και olive oil lemon dressing",salads,healthy_bowls
307,"Sweet Potato Chicken Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, γλυκοπατάτα ψητή, χούμους, αγγούρι, φιστίκι και yogurt dressing",salads,healthy_bowls
308,"Avocado Chicken Bowl με καστανό ρύζι, κοτόπουλο σχάρας, πράσινη σαλάτα, guacamole, κολοκυθόσπορο, ντοματίνια, αγγούρι και mango-lime dressing",salads,healthy_bowls
309,"Protein Mix Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, τόνος, χούμους, ντοματίνια, αγγούρι, κόλιανδρο, πίκλα κόκκινο κρεμμύδι και olive oil lemon dressing",salads,healthy_bowls
310,"Green Fitness Bowl με πράσινη σαλάτα, φαγόπυρο, κινόα, κοτόπουλο σχάρας, αβοκάντο,
αγγούρι, φράουλες, ντοματίνια και olive oil lemon dressing",salads,healthy_bowls
