Κωδικός,Παλιά Ποσότητα,Νέα Ποσότητα
297,"Ρύζι (110γρ), Λαχανικά, ωμά (30γρ), Κοτόπουλο στήθος (120γρ), Coleslaw broccoli  (50γρ), Χούμους (30γρ), Ντοματίνια (30γρ), Αγγούρι (30γρ), Dressing λαδολέμονο (35γρ)","Ρύζι (110γρ), Λαχανικά (30γρ), Κοτόπουλο στήθος (90γρ), Coleslaw broccoli  (50γρ), Χούμους (30γρ), Ντοματίνια (30γρ), Αγγούρι (30γρ), Dressing λαδολέμονο (35γρ)"
298,"Ρύζι (110γρ), Λαχανικά, ωμά (30γρ), Chicken Harissa (140γρ), Παντζάρι spread (30γρ), Καλαμπόκι (30γρ), Ντοματίνια (30γρ), Olive Oil Lemon Dressing (30γρ)","Ρύζι (110γρ), Λαχανικά (30γρ), Chicken Harissa (90γρ), Παντζάρι spread (30γρ), Καλαμπόκι (30γρ), Ντοματίνια (30γρ), Olive Oil Lemon Dressing (30γρ)"
299,"Καστανό ρύζι (110γρ), Κοτόπουλο στήθος (120γρ), Λαχανικά (30γρ), Ελιά (10γρ), Χούμους (40γρ), Αγγούρι (30γρ), Ντοματίνια (30γρ), Φέτα light (20γρ), Olive Oil Lemon Dressing (30γρ)","Καστανό ρύζι (110γρ), Κοτόπουλο στήθος (90γρ), Λαχανικά (30γρ), Ελιά (10γρ), Χούμους (40γρ), Αγγούρι (30γρ), Ντοματίνια (30γρ), Φέτα light (20γρ), Olive Oil Lemon Dressing (30γρ)"
300,"Καστανό ρύζι (160γρ), Σολομός (120γρ), Guacamole (40γρ), Αγγούρι (30γρ), Καλαμπόκι (30γρ), Σουσάμι (5γρ), Sesame Teriyaki Dressing (35γρ)","Καστανό ρύζι (160γρ), Σολομός (90γρ), Guacamole (40γρ), Αγγούρι (30γρ), Καλαμπόκι (30γρ), Σουσάμι (5γρ), Sesame Teriyaki Dressing (35γρ)"
301,"Καστανό ρύζι (110γρ), Μοσχάρι (120γρ), Λαχανικά (30γρ), Feta Chili Cream (40γρ), Αγγούρι (30γρ), Crispy Onios (15γρ), Garlic Aioli Dressing (30γρ)","Ρύζι (110γρ), Σολομός (90γρ), Λαχανικά (30γρ), Κάσιους (10γρ), Guacamole (20γρ), Ντοματίνια (30γρ), Πίκλα κόκκινο λάχανο (30γρ), Mango Lime Dressing (30γρ)"
302,"Ρύζι (110γρ), Τόνος (120γρ), Λαχανικά (30γρ), Χούμους (20γρ), Κάπαρη  (10γρ), Ντοματίνια (30γρ), Ελιά (20γρ), Olive Oil Lemon Dressing (30γρ)","Ρύζι (110γρ), Μοσχάρι (90γρ), Λαχανικά (30γρ), Χούμους (40γρ), Ντοματίνια (30γρ), Coleslaw broccoli (50γρ), Πίκλα κόκκινο λάχανο (30γρ), Dressing βαλσάμικο (35γρ)"
303,"Καστανό ρύζι (110γρ), Λαχανικά ψητά (80γρ), Λαχανικά (30γρ), Μπρόκολο ατμού (20γρ), Χούμους (20γρ), Αβοκάντο (30γρ), Ντοματίνια (30γρ), Olive Oil Lemon Dressing (30γρ)","Καστανό ρύζι (110γρ), Μοσχάρι (90γρ), Λαχανικά (30γρ), Feta Chili Cream (40γρ), Αγγούρι (30γρ), Crispy Onios (15γρ), Garlic Aioli Dressing (30γρ)"
304,"Καστανό ρύζι (110γρ), Κοτόπουλο στήθος (120γρ), Λαχανικά (30γρ), Guacamole (40γρ), Κολοκυθόσπορος (10γρ), Ντοματίνια (30γρ), Αγγούρι (30γρ), Mango Lime Dressing (35γρ)","Ρύζι (110γρ), Τόνος (90γρ), Λαχανικά (30γρ), Χούμους (20γρ), Κάπαρη (10γρ), Ντοματίνια, ωμά (30γρ), Ελιά (20γρ), Olive Oil Lemon Dressing (30γρ)"
305,"Λαχανικά (40γρ), Φαγόπυρο (40γρ), Κινόα (90γρ), Κοτόπουλο στήθος (120γρ), Αβοκάντο (30γρ), Αγγούρι (30γρ), Φράουλα (20γρ), Ντοματίνια (30γρ), Olive Oil Lemon Dressing (30γρ)","Ρύζι (110γρ), Φαλάφελ (90γρ), Τόφου (30γρ), Λαχανικά (30γρ), Χούμους (20γρ), Αγγούρι (30γρ), Πίκλα κόκκινο λάχανο (30γρ), Coleslaw broccoli Vegan (50γρ), Tahini Soy Dressing (35γρ)"
306,"Ρύζι (110γρ), Σολομός (120γρ), Λαχανικά (30γρ), Κάσιους (10γρ), Guacamole (20γρ), Ντοματίνια (30γρ), Πίκλα κόκκινο λάχανο (30γρ), Mango Lime Dressing (30γρ)","Καστανό ρύζι (110γρ), Λαχανικά ψητά (80γρ), Λαχανικά ωμά (30γρ), Μπρόκολο (20γρ), Χούμους (20γρ), Αβοκάντο (30γρ), Ντοματίνια (30γρ), Olive Oil Lemon Dressing (30γρ)"
