Κωδικός,Πιάτο,Ποσότητα,Παλιά τιμή,Νέα τιμή,Διαφορά
1,"Tropical γιαούρτι 2% με ανανά, flakes καρύδας, lime και μέντα","Tropical γιαούρτι 2% (170γρ), Ντιπάκι μελιού (20γρ)","5,90€","5,50€","-0,40€"
2,"Γιαούρτι 2% με φουντουκοβούτυρο, granola και blueberries","Γιαούρτι 2% με βούτυρο φουντουκιού (170γρ), Ντιπάκι μελιού (20γρ)","5,90€","6,50€","0,60€"
7,Brioche γεμιστό με τονοσαλάτα,Brioche ψωμάκι γεμιστό με τόνο (60γρ),"4,50€","3,90€","-0,60€"
12,Γιαούρτι 2% με σπιτική granola και αποξηραμένα φρούτα,Γιαούρτι 2% και σπιτική granola (200γρ),"5,50€","4,90€","-0,60€"
14,Μεξικάνικη ομελέτα φούρνου με chorizo,Μεξικάνικη ομελέτα (230γρ),"7,50€","6,90€","-0,60€"
17,Ελληνική ομελέτα φούρνου με λαχανικά,Ελληνική ομελέτα (150γρ),"5,50€","4,90€","-0,60€"
20,Sugar free Bitter cake με σοκολάτα,Bitter cake (85γρ),"3,90€","3,50€","-0,40€"
24,Γιαούρτι 2% με μέλι φρούτα και ξηρούς καρπούς,"Γιαούρτι 2% με μέλι (170γρ), Ντιπάκι μελιού (20γρ)","5,40€","5,50€","0,10€"
25,Pancakes βρώμης με φυστικοβούτυρο και μέλι,"Pancakes βρώμης με φυστικοβούτυρο (100γρ), Ντιπάκι μελιού (30γρ)","6,50€","5,90€","-0,60€"
36,Pancakes βρώμης με σιρόπι σφενδάμου και berries,"Pancakes βρώμης με σιρόπι σφενδάμου (100γρ), Ντιπάκι σφενδάμου (30γρ)","6,50€","5,90€","-0,60€"
41,Fitpal Energy Ball με χουρμάδες,Energy ball με φουντούκι (40γρ),"2,90€","3,50€","0,60€"
46,Sugar free chocolate cake,Κέικ με κακάο (70γρ),"3,90€","3,50€","-0,40€"
47,Φρουτοσαλάτα εποχής,Φρουτοσαλάτα (265γρ),"3,40€","3,90€","0,50€"
48,Sugar free cake βανίλιας με σταγόνες μαύρης σοκολάτας,Κέικ βανίλιας (70γρ),"3,90€","3,50€","-0,40€"
50,Sugar free Lemon poppy seeds cake,Κέικ λεμονιού (70γρ),"3,90€","3,50€","-0,40€"
51,Ισπανική ομελέτα φούρνου με λαχανικά,Ισπανική ομελέτα (180γρ),"5,50€","4,90€","-0,60€"
54,Fitpal Cookies με κρέμα φουντουκιού και σοκολάτα,Cookies με κρέμα φουντουκιού (50γρ),"2,90€","3,30€","0,40€"
58,Fitpal Bar με φουντουκοβούτυρο και σοκολάτα,Μπάρα με φουντουκοβούτυρο και μαύρη σοκολάτα (50γρ),"2,90€","3,90€","1,00€"
61,Blueberry chia pudding με γάλα αμυγδάλου,"Blueberry-almond milk chia pudding (200γρ), Ντιπάκι μελιού (20γρ)","5,90€","6,90€","1,00€"
64,Bagel ζέας με καπνιστό σολομό,Bagel ζέας με καπνιστό σολομό (120γρ),"6,90€","7,90€","1,00€"
74,Ατομική πράσινη σαλάτα με τοματίνια και αγγούρι,"Ατομική σαλάτα (180γρ), Dressing (20γρ)","2,90€","3,90€","1,00€"
88,"Σαλάτα με φινόκιο, αγκινάρα και μαυρομάτικα","Φινόκιο (100γρ), Αγκινάρα (60γρ)","8,50€","7,90€","-0,60€"
93,Στραπατσάδα bowl με γαλοπούλα και ανθότυρο,Στραπατσάδα (160γρ),"8,90€","7,90€","-1,00€"
101,Ατομική σαλάτα με βραστά λαχανικά και ελαιόλαδο,"Ατομική σαλάτα (200γρ), Dressing (20γρ)","3,90€","4,90€","1,00€"
221,Pancakes με κρέμα cheesecake και μαρμελάδα φράουλα,Pancakes βρώμης με κρέμα cheesecake (100γρ),"6,90€","6,50€","-0,40€"
236,Fitpal Bar με φιστίκι Αιγίνης και λευκή σοκολάτα,Μπάρα με φιστίκι Αιγίνης και λευκή σοκολάτα (50γρ),"2,90€","3,50€","0,60€"
241,"Γιαούρτι 2% με βρώμη, πορτοκάλι και μαύρη σοκολάτα",Γιαούρτι 2% με βρώμη (170γρ),"5,90€","5,50€","-0,40€"
254,Sugar free Cheesecake φούρνου,Cheesecake φούρνου (150γρ),"5,50€","4,90€","-0,60€"
260,"Ομελέτα φούρνου με γλυκοπατάτες, φέτα light και σπανάκι",Ομελέτα φούρνου με γλυκοπατάτες (200γρ),"6,50€","5,50€","-1,00€"
281,Healthy cheesecake με μαρμελάδα βύσσινο,Healthy cheesecake (160γρ),"5,50€","4,90€","-0,60€"
301,"Mango Salmon Bowl με ρύζι basmati, σολομός σχάρας, πράσινη σαλάτα, κάσιους, guacamole, ντοματίνια, πίκλα κόκκινο λάχανο και mango-lime dressing","Ρύζι (110γρ), Σολομός (90γρ), Λαχανικά (30γρ), Κάσιους (10γρ), Guacamole (20γρ), Ντοματίνια (30γρ), Πίκλα κόκκινο λάχανο (30γρ), Mango Lime Dressing (30γρ)","14,90€","12,90€","-2,00€"
