Κωδικός,Παλιός τίτλος,Νέος τίτλος
1,Tropical γιαούρτι με ανανά,"Tropical γιαούρτι 2% με ανανά, flakes καρύδας, lime και μέντα"
105,Παραδοσιακή μεσογειακή πατατοσαλάτα,Παραδοσιακή μεσογειακή πατατοσαλάτα με αυγό βραστό
106,Cobb salad με φαλάφελ φούρνου,Cobb salad με falafel φούρνου
108,Τονοσαλάτα με βίδες ολικής,"Τονοσαλάτα με βίδες ολικής, τυρί κρέμα light, καλαμόκι και λιαστή ντομάτα"
109,Σαλάτα με ψητά λαχανικά και φαγόπυρο,"Σαλάτα με ψητά λαχανικά, ανθότυρο, φαγόπυρο και φιστίκι Αιγίνης"
110,"Κεφτεδάκια φακής, ψητά λαχανικά, sauce γιαουρτιού",Κεφτεδάκια φακής με ψητά λαχανικά και sauce γιαουρτιού
114,"Σούπα καρότο με πατάτα, τζίντζερ και κρουτόν","Σούπα καρότο με πατάτα, τζίντζερ και σπιτικά κρουτόν"
115,"Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα","Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα light"
117,Γλυκόξυνο κοτόπουλο με ανανά και πιπεριές,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati"
119,Noodles με ψητό σολομό και teriyaki sauce,"Noodles με ψητό σολομό, σπανάκι και teriyaki sauce"
12,Γιαούρτι 2% με granola και αποξυραμένα φρούτα,Γιαούρτι 2% με σπιτική granola και αποξηραμένα φρούτα
121,Κριθαράκι ολικής με κινόα και λαχανικά και φέτα,"Κριθαράκι ολικής με κινόα, λαχανικά και φέτα light"
123,Λιγκουίνι ολικής με σάλτσα ντομάτας και τυρί,Λιγκουίνι ολικής με σάλτσα ντομάτας και τριμμένο τυρί light
124,Κολοκυθοκεφτέδες φούρνου με φέτα και ψητά λαχανικά,Κολοκυθοκεφτέδες φούρνου με ψητά λαχανικά και φέτα light
125,"Άγριο ρύζι με μπρόκολο,σπανάκι,τόφου και teriyaki","Άγριο ρύζι με μπρόκολο, σπανάκι, τόφου και teriyaki sauce"
128,Σούπα βελουτέ με κολοκύθα και κάστανο,"Σούπα βελουτέ κολοκύθας, κάστανο και σπιτικά κρουτόν"
129,"Φιλέτο κοτόπουλο, σάλτσα μουστάρδας και άγριο ρύζι",Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας
13,Μεξικάνικη τορτίγια με κοτόπουλο και guacamole,Mexican Wrap ολικής με κοτόπουλο και guacamole
130,"Spicy κουνουπίδι με χαλούμι, σπανάκι, άγριο ρύζι","Spicy κουνουπίδι με χαλούμι, σπανάκι και άγριο ρύζι"
132,Μαυρομάτικα φασόλια κοκκινιστά με σπανάκι και φέτα,Μαυρομάτικα φασόλια κοκκινιστά με σπανάκι και φέτα light
135,"Ψαρονέφρι, σάλτσα σόγια-μέλι-τζίντζερ, άγριο ρύζι",Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ
136,"Μοσχαρίσια κεφτεδάκια,πατάτες, σάλτσα μουστάρδας",Μοσχαρίσια κεφτεδάκια με πατάτες φούρνου και σάλτσα μουστάρδας
137,"Μοσχαρίσια κεφτεδάκια, sauce γιαουρτιού,πιτάκι",Μοσχαρίσια κεφτεδάκια με sauce γιαουρτιού και πιτάκι ολικής
138,Μπιφτέκι μοσχαρίσιο με ψητά λαχανικά,Μπιφτέκι μοσχαρίσιο με ψητά λαχανικά και sauce γιαουρτιού
139,"Μπιφτέκι μοσχαρίσιο, κους κους και ψητά μανιτάρια",Μπιφτέκι μοσχαρίσιο με κους κους και ψητά μανιτάρια
14,Μεξικάνικη ομελέτα με chorizo,Μεξικάνικη ομελέτα φούρνου με chorizo
141,"Μπιφτέκι μοσχαρίσιο, πουρές καρότου, αμπελοφάσουλα",Μπιφτέκι μοσχαρίσιο με πουρέ καρότου και αμπελοφάσουλα
142,"Μπιφτέκι μοσχαρίσιο με ρύζι basmati, ψητά καρότα",Μπιφτέκι μοσχαρίσιο με ρύζι basmati και ψητά καρότα
144,"Φιλέτο μοσχαρίσιο, πουρές σελινόριζας, gravy sauce",Φιλέτο μοσχαρίσιο με πουρέ σελινόριζας και gravy sauce
145,"Ψάρι ημέρας ψητό, ρύζι basmati και μπρόκολο ατμού",Ψάρι ημέρας ψητό με ρύζι basmati και μπρόκολο ατμού
147,"Σολομός ψητός με πουρέ γλυκοπατάτας, αμπελοφάσουλα",Σολομός ψητός με πουρέ γλυκοπατάτας και αμπελοφάσουλα
148,"Ψάρι ημέρας ψητό με πουρέ γλυκοπατάτας, yuzu juice",Ψάρι ημέρας ψητό με πουρέ γλυκοπατάτας και yuzu juice
15,Yogurt Bowl με γιαούρτι 2% και βούτυρο κάσιους,"Yogurt Bowl με γιαούρτι 2%, βούτυρο κάσιους, βρώμη και μάνγκο"
153,Σολομός ψητός και αμπελοφάσουλα με λαδολέμονο,Σολομός ψητός με αμπελοφάσουλα και λαδολέμονο
154,Φιλέτο στήθος κοτόπουλο ψητό και αμπελοφάσουλα,Φιλέτο στήθος κοτόπουλο ψητό με αμπελοφάσουλα
156,"Φιλέτο στήθος κοτόπουλο, χόρτα, ψητά μανιτάρια",Φιλέτο στήθος κοτόπουλο με χόρτα και ψητά μανιτάρια
157,"Φιλέτο στήθος κοτόπουλο, ρύζι και ψητά λαχανικά",Φιλέτο στήθος κοτόπουλο με ρύζι basmati και ψητά λαχανικά
158,Φιλέτο στήθος κοτόπουλο με λαχανικά ατμού,Φιλέτο στήθος κοτόπουλο με λαχανικά ατμού και σάλτσα μουστάρδας
159,Φιλέτο στήθος κοτόπουλο με γλυκοπατάτα,Φιλέτο στήθος κοτόπουλο με ψητή γλυκοπατάτα
16,Γιαούρτι 2% με ταχίνι και μπανάνα,"Γιαούρτι 2% με ταχίνι, βρώμη, καρύδια και μπανάνα"
160,"Μπιφτέκι γαλοπούλας, ρύζι basmati, ψητά λαχανικά",Μπιφτέκι γαλοπούλας με ρύζι basmati και ψητά λαχανικά
161,Μπιφτέκι γαλοπούλας με ψητά λαχανικά,Μπιφτέκι γαλοπούλας με ψητά λαχανικά και sauce γιαουρτιού
162,"Μπιφτέκι γαλοπούλας, κους κους, ψητά μανιτάρια",Μπιφτέκι γαλοπούλας με κους κους και ψητά μανιτάρια
164,"Μπιφτέκι γαλοπούλας, άγριο ρύζι, αμπελοφάσουλα",Μπιφτέκι γαλοπούλας με άγριο ρύζι και αμπελοφάσουλα
165,Μπιφτέκι γαλοπούλας με ρύζι και κρέμα μελιτζάνας,Μπιφτέκι γαλοπούλας με ρύζι basmati και κρέμα μελιτζάνας
166,"Μπιφτέκι γαλοπούλας, γλυκοπατάτα, κρέμα μελιτζάνας",Μπιφτέκι γαλοπούλας με γλυκοπατάτα και κρέμα μελιτζάνας
168,Μπιφτέκι γαλοπούλας με λαχανικά ατμού,Μπιφτέκι γαλοπούλας με λαχανικά ατμού και λαδολέμονο
170,"Μπιφτέκι γαλοπούλας, πατάτες φούρνου, ψητά καρότα",Μπιφτέκι γαλοπούλας με πατάτες φούρνου και ψητά καρότα
172,Φιλέτο στήθος κοτόπουλο με μανιτάρια και ρύζι,Φιλέτο στήθος κοτόπουλο με μανιτάρια και άγριο ρύζι
173,"Caprese με φιλέτο κοτόπουλο, μοτσαρέλα, πλιγούρι","Caprese με φιλέτο κοτόπουλο, μοτσαρέλα και πλιγούρι"
174,Φιλέτο μπούτι κοτόπουλο με ρύζι και teriyaki sauce,Φιλέτο μπούτι κοτόπουλο με άγριο ρύζι και teriyaki sauce
175,Tikka Masala κοτόπουλο με ρύζι basmati,Μπούτι κοτόπουλο Tikka Masala με ρύζι basmati
176,Φιλέτο μπούτι κοτόπουλο με ρύζι και κάρυ,Φιλέτο μπούτι κοτόπουλο με ρύζι basmati και κάρυ
18,"Wrap με φαλάφελ, γιαούρτι και sauce ταχίνι","Wrap ολικής με falafel φούρνου, γιαούρτι 2% και sauce ταχίνι"
181,"Γεμιστά με ρύζι, κινόα, φυστίκι Αιγίνης και φέτα","Γεμιστά με ρύζι, κινόα, φυστίκι Αιγίνης και φέτα light"
184,Χταπόδι με κοφτό μακαρονάκι και τριμμένο τυρί,Χταπόδι με κοφτό μακαρονάκι και τριμμένο τυρί light
185,"Λιγκουίνι ολικής με γαρίδες, σάλτσα λευκού κρασιού",Λιγκουίνι ολικής με γαρίδες και σάλτσα λευκού κρασιού
186,"Λιγκουίνι ολικής με κιμά γαλοπούλας, τριμμένο τυρί",Λιγκουίνι ολικής με κιμά γαλοπούλας και τριμμένο τυρί light
187,"Λιγκουίνι ολικής με μοσχαρίσιο κιμά, τριμμένο τυρί",Λιγκουίνι ολικής με μοσχαρίσιο κιμά και τριμμένο τυρί light
19,"Wrap με φαλάφελ, vegan mayo και sauce ταχίνι","Wrap ολικής με falafel φούρνου, vegan mayo και sauce ταχίνι"
190,Κοκκινιστά πράσινα φασολάκια με πατάτα και φέτα,Κοκκινιστά πράσινα φασολάκια με πατάτα και φέτα light
193,"Γιουβέτσι μοσχάρι,κριθαράκι ολικής, τριμμένο τυρί",Γιουβέτσι μοσχάρι με κριθαράκι ολικής και τριμμένο τυρί light
197,"Κάρυ με γάλα καρύδας, βασιλικό, τόφου, άγριο ρύζι","Κάρυ με γάλα καρύδας, βασιλικό, τόφου και άγριο ρύζι"
198,"Vegan μουσακάς, μανιτάρια, μπεσαμέλ γάλα σόγιας","Vegan μουσακάς με μανιτάρια, μπεσαμέλ και γάλα σόγιας"
2,Γιαούρτι με φουντουκοβούτυρο,"Γιαούρτι 2% με φουντουκοβούτυρο, granola και blueberries"
206,Σολομός ψητός με λαχανικά και vinaigrette σόγιας,Σολομός ψητός με λαχανικά ατμού και vinaigrette σόγιας
207,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα,Γίγαντες φούρνου με κόκκινες πιπεριές και φέτα light
