Κωδικός,Πιάτο,Ποσότητα,Αλλαγή
272-1,Στιφάδο με φιλέτο μπακαλιάρου και άγριο ρύζι,"Φιλέτο μπακαλιάρου (120γρ), Άγριο ρύζι (60γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-1,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (120γρ), Ρύζι basmati (60γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-10,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (210γρ), Ρύζι basmati (120γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-11,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (210γρ), Ρύζι basmati (180γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-12,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (210γρ), Ρύζι basmati (240γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-2,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (120γρ), Ρύζι basmati (120γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-3,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (120γρ), Ρύζι basmati (180γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-4,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (150γρ), Ρύζι basmati (60γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-5,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (150γρ), Ρύζι basmati (120γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-6,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (150γρ), Ρύζι basmati (180γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-7,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (180γρ), Ρύζι basmati (120γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-8,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (180γρ), Ρύζι basmati (180γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296-9,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (180γρ), Ρύζι basmati (240γρ)",ΝΕΟ variant σε υπάρχον πιάτο
296,Μοσχαράκι λεμονάτο με ρύζι basmati,"Φιλέτο μοσχάρι (180γρ), Ρύζι basmati (240γρ)",ΔΙΑΓΡΑΦΕΤΑΙ (αντικαθίσταται από 296-1..)
