Υλικό,Αλλεργίες (στήλη D)
Bagel ζέας,Gluten
Chipotle Chilli πάστα,Sulphites
Chorizo,"Milk, Gluten, Soy, Sulphites"
Chutney κρεμμυδιού,Sulphites
Cranberry,-
Fruit salad juice,-
Ginger,-
Jalapeños πιπεριά,-
Ketchup,"Sulphites, Celery"
Lime,-
Mirin,-
Noodles,Gluten
Noodles Ρυζιού,-
Oyster sauce,Molluscs
Rasberry,-
Sake,Sulphites
Sriracha sauce,Sulphites
Stevia,-
Whey Protein,"Gluten, Soy, Milk"
Worcestershire sauce,"Sulfites, Gluten, Fish, Soy"
Άμυλο καλαμποκιού,-
Άμυλο πατάτας,-
Άρωμα ροδάκινο,-
Αλεύρι,Gluten
Αλεύρι αμυγδάλου,Tree nuts
Αλεύρι καρύδας,Tree nuts
Αλεύρι ολικής άλεσης,Gluten
Αμύγδαλο,Tree nuts
Ανανά,-
Αντίδια,-
Αντζούγια,Fish
Αρώνια,-
Αστεροειδής γλυκάνισος,-
Αυγό,Eggs
Βαλσάμικο ξύδι,Sulphites
Βερίκοκο,-
Βούτυρο,Milk
Γάλα,Milk
Γάλα σόγιας,Soy
Γαλοπούλα,-
Γαρίδα,"Molluscs, Shellfish"
Γιαούρτι,Milk
Δαμάσκηνα,-
Δενδρολίβανο,-
Ζάχαρη Καρύδας,-
Ζαχαροκάλαμο,Sulfites
Ζυμαρικό,Gluten
Ζωμός βοδινός,Celery
Ζωμός κοτόπουλου,Celery
Ζωμός λαχανικών,Celery
Ηλιέλαιο,-
Θυμάρι,-
Κάρυ,"Celery, Mustard"
Κάστανο,Tree nuts
Κίτρινη πιπεριά,-
Καραμέλα,"Milk, Soy"
Καρπούζι,-
Καρύδα,Tree nuts
Καρύδι,Tree nuts
Καρύδι pecan,Tree nuts
Καστανή ζάχαρη,-
Κατίκι,Milk
Κολοκύθα,-
Κολοκύθι,-
Κοτόπουλο,-
Κουκουνάρι,Tree nuts
Κουρκουμάς,-
Κρέμα καρύδας,-
Κόκορας,-
Κύμινο,Celery
Λάδι καρύδας,Tree nuts
Λάχανο,-
Λάχανο κόκκινο,-
Λαχανίδα,-
Λεμόνι,-
Λευκή ζάχαρη,-
Λευκή σοκολάτα,"Milk, Soy"
Μirin,"Soy, Gluten"
Μήλο πράσινο,-
Μανιτάρι,-
Μαρμελάδα βύσσινο χωρίς ζάχαρη,-
Μαρμελάδα φράουλα χωρίς ζάχαρη,-
Μαύρη σοκολάτα,"Soy, Milk, Tree nuts, Peanuts"
Μαύρο καρότο,-
Μαύρο τσάι,-
Μελιτζάνα,Eggplant
Μηλόξυδο,-
Μοσχοκάρυδο,-
Μπακαλιάρος,Fish
Μπούκοβο,-
Ξύδι,Sulphites
Ξύδι ρυζιού,"Gluten, Sulphites"
Πάπρικα,-
Πέστροφα,Fish
Παξιμάδι χαρουπιού,Gluten
Παπάγια,-
Πασατέμπος,-
Πιπεριά,-
Πιπεριά φλωρίνης,-
Πορτοκαλί πιπεριά,-
Πράσο,-
Πρωτεΐνη αρακά,-
Ρίγανη,-
Ραπανάκι,-
Ρικότα,Milk
Σελινόριζα,Celery
Σιρόπι αγαύης,-
Σιρόπι σφενδάμου,-
Σοκολάτα,"Milk, Soy"
Σολομός καπνιστός,Fish
Σουμάκ,-
Σουπιά,Molluscs
Σταφίδα,-
Σόδα,-
Σύκο,-
Ταραμάς,"Fish, Gluten, Sulphites"
Τορτίγια,"Gluten, Eggs, Milk"
Τυρί κίτρινο light,Milk
Τυρί κρέμα,Milk
Φακή,-
Φασόλια,-
Φουντούκι,Tree nuts
Φρέσκο κρεμμυδάκι,-
Φρούτα του δάσους,-
Φρούτο,-
Φρυγανιά,Gluten
Φυλλώδη πράσινα λαχανικά,-
Φυστίκι,Peanuts
Φυστίκι Αιγίνης,Tree nuts
Φύλλο ολικής,"Gluten, Eggs, Milk"
Χουρμάδες,-
Χταπόδι,Molluscs
Χυλοπίτες,"Gluten, Eggs, Milk"
Χυμός yuzu,-
Χυμός γκρέιπφρουτ,-
Χυμός μήλου,-
Ψάρι,Fish
Ψωμί,Gluten
