Κωδικός,Κατηγορία,Τίτλος,Variants,Έχει εικόνα
311,Smoothies,"Smoothie με μπανάνα, καρότο και βερίκοκο",1,ΝΑΙ
312,Smoothies,"Smoothie με φράουλα, μπανάνα, μήλο και μαύρο κορότο",1,ΝΑΙ
313,Smoothies,"Protein Smoothie με γιαούρτι, ανανά και πορτοκάλι",1,ΝΑΙ
314,Smoothies,"Protein Smoothie με γιαούρτι, φράουλα και αρώνια",1,ΝΑΙ
315,Smoothies,"Energy Shot με μάνγκο, τζίντζερ, λεμόνι και μέλι",1,ΝΑΙ
316,Smoothies,Immunity Shot με τζίντζερ και lime,1,ΝΑΙ
317,Smoothies,"ChiaDia Straberry με μήλο, chia και σιρόπι αγαύης",1,ΝΑΙ
318,Smoothies,Iced Tea ροδάκινο,1,ΝΑΙ
319,Σαλάτες,"Σαλάτα με καρπούζι, κοτόπουλο σχάρας, κινόα και φέτα light",1,ΝΑΙ
320,Σαλάτες,Μακαρονοσαλάτα με βίδες ολικής και κοτόπουλο σχάρας,3,ΝΑΙ
321,Σαλάτες,"Ντάκος με χταποδοσαλάτα, ντοματίνια, αγγούρι και κρέμα ταραμά",1,ΝΑΙ
322,Μαγειρευτά,Κρύα σούπα Gazpacho τομάτας με φέτα light,2,ΝΑΙ
323,Μαγειρευτά,Κρύα σούπα βελουτέ αρακά με κατίκι δομοκού και σπιτικά κρουτόν,2,ΝΑΙ
324,Μαγειρευτά,Κοκκινιστός αρακάς με κοπανάκια κοτόπουλου,4,ΝΑΙ
325,Μαγειρευτά,Κοτόπουλο με σάλτσα φυστικοβούτυρου και ρύζι basmati,9,ΝΑΙ
326,Μαγειρευτά,Μοσχαράκι κοκκινιστό με ρύζι basmati,12,ΝΑΙ
327,Μαγειρευτά,Pulled Μοσχαράκι Birria με σάλτσα Adobo και ρύζι basmati,9,ΝΑΙ
328,Μαγειρευτά,Μοσχαρίσιο Σοφρίτο με λευκό κρασί και ρύζι basmati,9,ΝΑΙ
329,Μαγειρευτά,Λεμονάτη τηγανιά κοτόπουλο με ρύζι basmati,12,ΝΑΙ
330,Μαγειρευτά,Κοτόπουλο μπούτι μαριναρισμένο με μουστάρδα και πατάτες φούρνου,3,ΝΑΙ
