,Αλλεργίες AI,ΠΙΘΑΝΕΣ ΔΙΟΡΘΩΣΕΙΣ/ΠΡΟΣΘΗΚΕΣ (FITPAL),IOUSTINOS COLUMN / DO NOT TOUCH
Bagel ζέας,Gluten,,Gluten
BBQ sauce,"Gluten, Mustard, Soy","Mustard, Soy, Fish, Celery, Sulphites","Mustard, Soy, Fish, Celery, Sulphites"
Blueberries,-,,-
Cheddar light,Milk,,Milk
Chili πιπεριά,-,,-
Chipotle Chilli πάστα,Sulphites,,Sulphites
Chorizo,"Milk, Sulphites, Soy","Milk, Gluten, Soy, Sulphites","Milk, Gluten, Soy, Sulphites"
Chutney κρεμμυδιού,Sulphites,,Sulphites
Cranberry,-,,-
Edamame,Soy,,Soy
Flakes καρύδας,Tree nuts,,Tree nuts
Fruit salad juice,-,,-
Ginger,-,,-
Guacamole,-,,-
Horseradish,Sulphites,"Milk, Eggs","Milk, Eggs"
Iceberg,-,,-
Jalapeños πιπεριά,-,,-
Kale,-,,-
Ketchup,-,"Sulphites, Celery","Sulphites, Celery"
Lime,-,,-
Mirin,-,,-
Noodles,"Gluten, Sesame, Soy, Wheat",Gluten,Gluten
Noodles Ρυζιού,-,,-
Oyster sauce,Molluscs,,Molluscs
Pesto,"Milk, Tree nuts",,"Milk, Tree nuts"
Rasberry,-,,-
Sake,-,Sulphites,Sulphites
Sriracha sauce,-,Sulphites,Sulphites
Stevia,-,,-
Sweet chilli,Sulphites,"Sulphites, Gluten","Sulphites, Gluten"
Teriyaki sauce,"Gluten, Soy","Soy, Gluten, Sulphites","Soy, Gluten, Sulphites"
Whey Protein,Milk,"Gluten, Soy, Milk","Gluten, Soy, Milk"
Worcestershire sauce,"Gluten, Fish, Soy, Celery","Sulfites, Gluten, Fish, Soy","Sulfites, Gluten, Fish, Soy"
Αβοκάντο,Tree nuts,-,-
Αγγούρι,-,,-
Αγκινάρα,-,,-
Ακτινίδιο,-,,-
Αλεύρι,Gluten,,Gluten
Αλεύρι αμυγδάλου,Tree nuts,,Tree nuts
Αλεύρι καρύδας,Tree nuts,,Tree nuts
Αλεύρι ολικής άλεσης,Gluten,,Gluten
Αμπελοφάσουλα,-,,-
Αμύγδαλο,Tree nuts,,Tree nuts
Αμύγδαλο φιλέ,Tree nuts,,Tree nuts
Άμυλο καλαμποκιού,-,,-
Άμυλο πατάτας,-,,-
Ανανά,-,,-
Άνηθος,-,Celery,Celery
