Κατηγορία,Λιανική,Τίτλος,Ποσότητα,Υλικά,Κρυμμένο Πεδίο,Κωδικός,Price,Price (ΦΠΑ),Status,Επιλογή Πιάτου Match,Food Cost,Food Cost (ΦΠΑ),Packaging Cost,Packaging Cost (ΦΠΑ),Old Product Cost,Product Cost,Product Cost (ΦΠΑ),Product Cost/ Price,Price - Product Cost,Food Cost/Price,Packaging Cost/ Price,Θερμίδες,Υδατάνθρακες,Πρωτεϊνη,Λιπαρά,Image,Image
Πρωϊνά,ΝΑΙ,Avocado toast με ψωμί ολικής και τυρί κρέμα light,"Ψωμί ολικής (60γρ), Guacamole (30γρ)","Ψωμί, Τυρί κρέμα light, Guacamole, Λαχανικά","Ψωμί ολικής (60γρ), Guacamole (30γρ), Τυρί κρέμα light (30γρ), Πράσινη σαλάτα (20γρ)",29-1,3.98,4.50,OK,"Ψωμί ολικής (60γρ), Τυρί κρέμα, light (30γρ), Guacamole (30γρ), Λαχανικά, ωμά (20γρ)",0.65,0.73,0.16,0.19,0.81,0.81,0.93,20.23%,€3.18,16.33%,3.89%,281,30,10,14,https://drive.google.com/file/d/1a9LQVNOotDOTC84tZBNnqoEwjbDjZNN3/view?usp=sharing,https://drive.google.com/file/d/1a9LQVNOotDOTC84tZBNnqoEwjbDjZNN3/view?usp=sharing
Πρωϊνά,ΟΧΙ,Avocado toast με ψωμί ολικής και τυρί κρέμα light,"Ψωμί ολικής (120γρ), Guacamole (30γρ)","Ψωμί, Τυρί κρέμα light, Guacamole, Λαχανικά","Ψωμί ολικής (120γρ), Guacamole (30γρ), Τυρί κρέμα light (30γρ), Πράσινη σαλάτα (25γρ)",29-2,4.87,5.50,OK,"Ψωμί ολικής (120γρ), Τυρί κρέμα, light (30γρ), Guacamole (30γρ), Λαχανικά, ωμά (25γρ)",0.84,0.95,0.22,0.27,1.06,1.06,1.22,21.66%,€3.82,17.25%,4.41%,433,56,18,16,https://drive.google.com/file/d/1a9LQVNOotDOTC84tZBNnqoEwjbDjZNN3/view?usp=sharing,https://drive.google.com/file/d/1a9LQVNOotDOTC84tZBNnqoEwjbDjZNN3/view?usp=sharing
Πρωϊνά,ΝΑΙ,Bagel ζέας με καπνιστό σολομό,Bagel ζέας με καπνιστό σολομό (120γρ),"Bagel ζέας, Σολομός καπνιστός, Τυρί κρέμα light, Φρέσκο κρεμμυδάκι, Ντοματίνια, Αγγούρι, Κάπαρη, Φύτρες","Bagel (120γρ), Καπνιστός σολομός (40γρ), Τυρί κρέμα light (40γρ), Φρέσκο κρεμμύδι (5γρ), Φύτρες (10γρ), Ντοματίνια (20γρ), Αγγούρι (10γρ), Κάπαρη (5γρ)",64,6.99,7.90,Product Cost Change,"Bagel ζέας (120γρ), Σολομός, καπνιστός (40γρ), Τυρί κρέμα, light (40γρ), Φρέσκο κρεμμυδάκι, ωμό (5γρ), Ντοματίνια, ωμά (20γρ), Αγγούρι, ωμό (10γρ), Κάπαρη  (5γρ), Φύτρες, ωμές (10γρ)",2.56,2.89,0.16,0.19,2.71,2.72,3.09,38.84%,€4.28,36.62%,2.22%,584,91,23,14,https://drive.google.com/file/d/1hoIpTWkL-fslstvSsziw-0MEwgIQ9Ats/view?usp=sharing,https://drive.google.com/file/d/1hoIpTWkL-fslstvSsziw-0MEwgIQ9Ats/view?usp=sharing
Πρωϊνά,ΝΑΙ,Bagel ζέας με σαλάτα αυγού ,Bagel ζέας με σαλάτα αυγού (120γρ),"Bagel ζέας, Αυγό, Τυρί κίτρινο light, Γιαούρτι, Μαγιονέζα light, Καλαμπόκι, Ντομάτα, Μαρούλι, Μουστάρδα, Καρότο","Bagel (120γρ), Αυγό βραστό (50γρ), Κίτρινο τυρί light (20γρ), Μαγιονέζα light (20γρ), Γιαούρτι 2% (20γρ), Μουστάρδα (5γρ), Καλαμπόκι (20γρ), Καρότο (20γρ), Ντομάτα (20γρ), Μαρούλι (5γρ)",65,5.22,5.90,Product Cost Change,"Bagel ζέας (120γρ), Αυγό ολόκληρο, βραστό (50γρ), Τυρί κίτρινο light (20γρ), Γιαούρτι 2% (20γρ), Μαγιονέζα light (20γρ), Καλαμπόκι, κονσέρβα (20γρ), Ντομάτα, ωμή (20γρ), Μαρούλι, ωμό (5γρ), Μουστάρδα (5γρ), Καρότο, ωμό (20γρ)",1.63,1.84,0.16,0.19,1.78,1.79,2.03,34.20%,€3.44,31.23%,2.97%,664,94,27,19,https://drive.google.com/file/d/1kQ7HAewOwX5xVwk5jBnLm2r_yMRce5MH/view?usp=sharing,https://drive.google.com/file/d/1kQ7HAewOwX5xVwk5jBnLm2r_yMRce5MH/view?usp=sharing
Πρωϊνά,ΝΑΙ,Banana bread,Banana bread (80γρ),"Μπανάνα, Αυγό, Μέλι, Βρώμη, Σταγόνες μαύρης σοκολάτας",Banana bread (80γρ),37,3.10,3.50,OK,Banana Bread (80γρ),0.26,0.29,0.05,0.07,0.31,0.31,0.36,10.08%,€2.79,8.39%,1.69%,217,40,5,5,https://drive.google.com/file/d/1esM30xmbFt9NyogAF-cSWTZABuqbB50z/view?usp=sharing,https://drive.google.com/file/d/1esM30xmbFt9NyogAF-cSWTZABuqbB50z/view?usp=sharing
Πρωϊνά,ΝΑΙ,Blueberry chia pudding με γάλα αμυγδάλου,"Blueberry-almond milk chia pudding (200γρ), Ντιπάκι μελιού (20γρ)","Σπόροι chia, Γάλα αμυγδάλου, Μέλι, Φράουλα, Blueberries, Αμύγδαλο, Παπαρουνόσπορος","Σπόροι chia (30γρ), Γάλα αμυγδάλου (130γρ), Blueberry puree (40γρ), Μέλι (10γρ), Ντιπάκι μελιού (20γρ), Φράουλα (10γρ), Blueberries (20γρ), Αμύγδαλο φιλέ (5γρ), Παπαρουνόσπορος (5γρ)",61,6.11,6.90,Product Cost Change,"Chia seeds, dried (30γρ), Γάλα αμυγδάλου (130γρ), Blueberry puree (40γρ), Μέλι (30γρ), Φράουλα (10γρ), Blueberries, φρέσκα (20γρ), Αμύγδαλο, ωμό, ανάλατο (5γρ), Παπαρουνόσπορος (5γρ)",2.15,2.43,0.22,0.27,2.34,2.37,2.70,38.81%,€3.74,35.19%,3.62%,377,53,8,14,https://drive.google.com/file/d/1v_rv1gK5vQiNQ717pq389GaYS-QaEug-/view?usp=sharing,https://drive.google.com/file/d/1v_rv1gK5vQiNQ717pq389GaYS-QaEug-/view?usp=sharing
Πρωϊνά,ΝΑΙ,Bread omellette sandwich με ψωμί ολικής,"Ψωμί ολικής (60γρ), Ομελέτα (50γρ)","Ψωμί, Αυγό, Τυρί κίτρινο light, Γαλοπούλα βραστή, Μαγιονέζα light","Ψωμί ολικής (60γρ), Ομελέτα (50γρ), Κίτρινο τυρί light (15γρ), Γαλοπούλα βραστή (15γρ), Μαγιονέζα light (10γρ)",49-1,3.98,4.50,OK,"Ψωμί ολικής (60γρ), Αυγό ολόκληρο, βραστό (50γρ), Τυρί κίτρινο light (15γρ), Γαλοπούλα βραστή, σε φέτες (15γρ), Μαγιονέζα light (10γρ)",0.76,0.86,0.16,0.19,0.92,0.92,1.05,22.99%,€3.07,19.10%,3.89%,303,28,21,12,https://drive.google.com/file/d/1kQB1BdLvbf2Bq-smE1Ff3sQNLaiWQkjy/view?usp=sharing,https://drive.google.com/file/d/1kQB1BdLvbf2Bq-smE1Ff3sQNLaiWQkjy/view?usp=sharing
Πρωϊνά,ΟΧΙ,Bread omellette sandwich με ψωμί ολικής,"Ψωμί ολικής (120γρ), Ομελέτα (50γρ)","Ψωμί, Αυγό, Τυρί κίτρινο light, Γαλοπούλα βραστή, Μαγιονέζα light","Ψωμί ολικής (120γρ), Ομελέτα (50γρ), Κίτρινο τυρί light (30γρ), Γαλοπούλα βραστή (30γρ), Μαγιονέζα light (15γρ)",49-2,4.87,5.50,OK,"Ψωμί ολικής (120γρ), Αυγό ολόκληρο, βραστό (50γρ), Τυρί κίτρινο light (30γρ), Γαλοπούλα βραστή, σε φέτες (30γρ), Μαγιονέζα light (15γρ)",1.28,1.45,0.22,0.27,1.50,1.50,1.71,30.70%,€3.38,26.28%,4.41%,516,54,35,17,https://drive.google.com/file/d/1kQB1BdLvbf2Bq-smE1Ff3sQNLaiWQkjy/view?usp=sharing,https://drive.google.com/file/d/1kQB1BdLvbf2Bq-smE1Ff3sQNLaiWQkjy/view?usp=sharing
Πρωϊνά,ΝΑΙ,Breakfast ''Lemon pie'' με γιαούρτι 2%,"Breakfast Lemon Pie (210γρ), Ντιπάκι μελιού (20γρ)","Γιαούρτι, Τυρί κρέμα light, Μπισκότο χωρίς ζάχαρη, Μέλι, Χυμός λεμονιού, Blueberries, Αμύγδαλο, Μέντα, Lime","Γιαούρτι 2% (120γρ), Μπισκότο χωρίς ζάχαρη (30γρ), Τυρί κρέμα light (20γρ), Μέλι (10γρ), Ντιπάκι μελιού (20γρ), Χυμός λεμονιού (5γρ), Blueberries (15γρ), Αμύγδαλο φιλέ (10γρ), Μέντα (2γρ)",240,5.22,5.90,OK,"Γιαούρτι 2% (120γρ), Τυρί κρέμα, light (20γρ), Μπισκότο, χωρίς ζάχαρη (30γρ), Μέλι (30γρ), Εκχύλισμα βανίλιας
 (2γρ), Χυμός λεμονιού (5γρ), Blueberries, φρέσκα (15γρ), Αμύγδαλο, ωμό, ανάλατο (10γρ), Μέντα (2γρ), Lime (3γρ)",1.55,1.75,0.27,0.33,1.82,1.82,2.08,34.78%,35.26%,29.69%,5.08%,429,53,18,17,https://drive.google.com/file/d/1YtyTc9NjGhJaTva8UOQ70w0RUzDCtnH_/view?usp=sharing,https://drive.google.com/file/d/1YtyTc9NjGhJaTva8UOQ70w0RUzDCtnH_/view?usp=sharing
Πρωϊνά,ΝΑΙ,Bricher Muesli με φρέσκα φρούτα,"Bircher Muesli (285γρ), Ντιπάκι μελιού (20γρ)","Βρώμη, Σπόροι chia, Flakes καρύδας, Λιναρόσπορος, Κανέλα, Μήλο, Φρούτο, Μέλι, Καρύδι pecan, Κολοκυθόσπορος, Γάλα, Γιαούρτι, Χυμός πορτοκαλιού","Βρώμη (30γρ), Σπόροι chia (5γρ), Flakes καρύδας (10γρ), Λιναρόσπορος (10γρ), Κανέλα (1γρ), Μήλο (50γρ), Φρούτο εποχής (70γρ), Μέλι (10γρ), Ντιπάκι μελιού (20γρ), Καρύδια pecan (10γρ), Κολοκυθόσπορος (5γρ), Γάλα 1,5% (60γρ), Γιαούρτι 2% (40γρ), Χυμός πορτοκάλι (2γρ)",3,5.22,5.90,OK,Bircher Muesli  (330γρ),1.21,1.37,0.27,0.33,1.48,1.48,1.70,28.26%,€3.74,23.18%,5.08%,668,91,20,28,https://drive.google.com/file/d/17gSTTkkpyqqaJjrFFMTE3HWkBmm9Dic-/view?usp=sharing,https://drive.google.com/file/d/17gSTTkkpyqqaJjrFFMTE3HWkBmm9Dic-/view?usp=sharing
